institute_id,name,TLR,RPC,GO,OI,PRECEPTION,city,state,score,nirf_rank
IR-E-C-33773,Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,53.58,7.74,59.93,46.69,2.16,Mumbai,Maharashtra,35.27,125,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-33773.pdf
IR-E-C-1413,Dayananda Sagar College of Engineering,51.56,6.69,57.99,54.63,5.69,Bengaluru,Karnataka,35.11,126,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1413.pdf
IR-E-C-19667,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,62.78,6.38,44.97,50.33,2.16,Hyderabad,Telangana,34.99,127,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-19667.pdf
IR-E-C-1352,Nitte Meenakshi Institute of Technology,58.44,6.10,49.40,53.09,4.22,Bengaluru,Karnataka,34.97,128,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1352.pdf
IR-E-U-0774,DIT University,58.78,7.54,43.77,59.09,3.71,Dehradun,Uttarakhand,34.93,129,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0774.pdf
IR-E-U-0621,National Institute of Technology Puducherry,54.57,3.41,54.45,58.82,7.12,Karaikal,Pondicherry,34.87,130,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0621.pdf
IR-E-U-0146,Nirma University,53.90,10.82,50.60,46.14,7.12,Ahmedabad,Gujarat,34.85,131,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0146.pdf
IR-E-C-1412,JSS Science and Technology University   ,55.76,3.86,54.88,51.44,8.05,Mysuru,Karnataka,34.81,132,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1412.pdf
IR-E-C-1400,N M A M Institute of Technology,58.73,5.43,50.17,48.85,5.69,"Nitte, 
Udupi",Karnataka,34.73,133,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1400.pdf
IR-E-U-0535,Rajiv Gandhi Institute of Petroleum Technology,56.16,7.55,56.28,42.16,0.00,Amethi,Uttar Pradesh,34.59,134,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0535.pdf
IR-E-C-37065,Kongu Engineering College,58.13,5.76,46.86,44.25,14.79,Perundurai,Tamil Nadu,34.45,135,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-37065.pdf
IR-E-U-0854,KLE Technological University,56.85,8.11,48.85,49.29,1.63,Dharwad,Karnataka,34.34,136,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0854.pdf
IR-E-U-0384,Sant Longowal Institute of Engineering & Technology,59.28,17.63,27.04,55.09,2.69,Longowal,Punjab,34.27,137,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0384.pdf
IR-E-U-0938,Dr. Vishwanath Karad MIT World Peace University,60.56,4.32,47.57,48.17,3.71,Pune,Maharashtra,34.17,138,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0938.pdf
IR-E-C-18817,G. H. Raisoni College of Engineering,46.65,9.68,61.00,49.25,0.55,Nagpur,Maharashtra,34.07,139,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-18817.pdf
IR-E-C-18254,Yeshwantrao Chavan College of Engineering,51.75,8.58,53.65,52.42,0.00,Nagpur,Maharashtra,34.07,139,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-18254.pdf
IR-E-C-19607,CVR College Of Engineering,57.68,1.21,54.84,51.32,1.10,Ibrahimpatan,Telangana,33.87,141,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-19607.pdf
IR-E-C-37089,Sri Ramakrishna Engineering College,54.46,5.15,53.30,46.28,6.18,Coimbatore,Tamil Nadu,33.79,142,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-37089.pdf
IR-E-C-19650,Vardhaman College of Engineering,57.23,4.18,52.41,48.49,0.00,Rangareddy,Telangana,33.75,143,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-19650.pdf
IR-E-U-0332,The Rashtrasant Tukadoji Maharaj Nagpur University,41.84,24.72,48.59,39.99,0.00,Nagpur,Maharashtra,33.68,144,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0332.pdf
IR-E-U-0046,North Eastern Regional Institute of Science & Technology,64.04,9.76,33.30,43.05,5.69,Itanagar,Arunachal Pradesh,33.67,145,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0046.pdf
IR-E-U-0685,Indira Gandhi Delhi Technical University for Women,42.33,8.13,63.06,53.96,5.21,Delhi,Delhi,33.67,145,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0685.pdf
IR-E-C-1345,P E S College of Engineering,59.25,0.71,51.11,54.45,0.00,Mandya,Karnataka,33.65,147,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1345.pdf
IR-E-C-43264,National Institute of Foundry and Forge Technology (NIFFT),54.46,2.27,58.68,41.41,6.65,Ranchi,Jharkhand,33.57,148,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-43264.pdf
IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,49.09,12.43,41.93,66.36,0.55,Chennai,Tamil Nadu,33.55,149,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-I-1441.pdf
IR-E-C-37028,Sona College of Technology,53.05,6.12,52.87,46.82,5.21,Salem,Tamil Nadu,33.53,150,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-37028.pdf
IR-E-N-10,SVKM`s Narsee Monjee Institute of Management Studies ,56.06,5.17,48.62,51.89,2.16,Mumbai,Maharashtra,33.50,151,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-N-10.pdf
IR-E-C-37064,Sri Krishna College of Technology,51.06,4.37,58.86,46.60,3.71,Coimbatore,Tamil Nadu,33.43,152,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-37064.pdf
IR-E-U-0037,Sri Venkateswara University,42.43,27.73,38.00,42.67,3.71,Tirupati,Andhra Pradesh,33.29,153,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0037.pdf
IR-E-C-6202,Heritage Institute of Technology,52.26,4.90,50.40,54.15,6.18,Kolkata,West Bengal,33.27,154,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-6202.pdf
IR-E-C-16614,R. M. K. Engineering College,54.27,2.25,54.24,53.21,1.10,Thiruvallur,Tamil Nadu,33.24,155,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-16614.pdf
IR-E-C-18010,Velagapudi Ramakrishna Siddhartha Engineering College,55.02,5.36,47.11,53.23,2.69,Vijayawada,Andhra Pradesh,33.13,156,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-18010.pdf
IR-E-U-0592,Maulana Abul Kalam Azad University of Technology,41.49,16.75,52.96,47.42,2.69,Nadia,West Bengal,33.07,157,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0592.pdf
IR-E-U-0613,National Institute of Technology Manipur,54.89,8.29,42.86,53.25,1.63,Imphal,Manipur,33.02,158,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0613.pdf
IR-E-U-0213,Alliance University,47.89,1.88,63.26,53.12,1.10,Bengaluru,Karnataka,33.00,159,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0213.pdf
IR-E-C-16537,St. Josephs College of Engineering,53.65,6.81,52.88,42.44,0.00,Kancheepuram,Tamil Nadu,32.95,160,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-16537.pdf
IR-E-C-19754,"SR Engineering College
",62.29,1.91,31.20,62.13,12.38,Warangal,Telangana,32.95,160,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-19754.pdf
IR-E-U-0604,Amity University Gwalior,56.79,1.40,54.03,46.10,0.00,Gwalior,Madhya Pradesh,32.88,162,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0604.pdf
IR-E-C-6238,Haldia Institute of Technology,49.15,6.80,50.20,55.80,4.22,Haldia,West Bengal,32.83,163,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-6238.pdf
IR-E-C-8277,Government Engineering College,57.13,2.86,49.94,45.99,2.16,Thrissur,Kerala,32.81,164,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-8277.pdf
IR-E-I-1015,Vishwakarma Institute of Technology,47.21,6.45,59.26,44.53,3.20,Pune,Maharashtra,32.72,165,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-I-1015.pdf
IR-E-U-0864,Harcourt Butler Technical University,59.15,2.31,46.82,42.34,6.65,Kanpur Nagar,Uttar Pradesh,32.69,166,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0864.pdf
IR-E-U-0564,University of Petroleum and Energy Studies,48.86,14.26,39.13,53.15,4.22,Dehradun,Uttarakhand,32.51,167,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0564.pdf
IR-E-C-11015,Walchand College of Engineering,50.11,4.15,54.99,47.43,3.71,Sangli,Maharashtra,32.39,168,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-11015.pdf
IR-E-C-1336,BMS Institute of Technology & Management,48.02,4.04,51.43,53.36,11.13,Bengaluru,Karnataka,32.36,169,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1336.pdf
IR-E-C-19706,Institute of Aeronautical Engineering,50.61,7.28,45.04,54.16,4.72,Hyderabad,Telangana,32.26,170,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-19706.pdf
IR-E-C-33584,K. J. Somaiya College of Engineering,51.95,2.84,59.03,39.37,0.55,Mumbai,Maharashtra,32.25,171,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-33584.pdf
IR-E-C-19534,Goka Raju Ranga Raju Institute of Engineering & Technology,53.11,2.72,52.44,48.87,1.10,Hyderabad,Telangana,32.24,172,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-19534.pdf
IR-E-C-42242,Maharshi Karve Stree Shikshan Samstha's Cummins College of Engineering for Women,50.80,2.95,52.51,53.89,2.16,Pune,Maharashtra,32.23,173,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-42242.pdf
IR-E-U-0169,ManavRachna International Institute of Research & Studies,51.95,4.10,51.73,49.28,1.10,Faridabad,Haryana,32.21,174,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0169.pdf
IR-E-C-1438,The National Institute of Engineering,51.97,2.65,51.05,50.57,5.21,Mysore,Karnataka,32.17,175,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1438.pdf
IR-E-C-16572,Sri Venkateswara College of Engineering,56.18,4.91,48.74,38.31,2.16,Kancheepuram,Tamil Nadu,32.12,176,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-16572.pdf
IR-E-U-0147,Pandit Deendayal Petroleum University,49.08,11.97,50.34,33.80,3.20,Gandhinagar,Gujarat,32.08,177,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0147.pdf
IR-E-C-9462,"School of Engineering, Cochin University of Science and Technology",50.08,14.19,38.55,44.77,5.69,Cochin,Kerala,32.04,178,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-9462.pdf
IR-E-C-30153,"Silicon Institute of Technology (SIT), Bhubaneswar",52.90,2.66,47.20,56.20,2.69,Bhubaneswar,Odisha,32.00,179,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-30153.pdf
IR-E-C-19747,Anurag Group of Institutions,56.55,1.44,43.97,54.98,0.55,Hyderabad,Telangana,31.74,180,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-19747.pdf
IR-E-U-0373,Chitkara University,48.34,7.56,47.86,53.83,0.00,Rajpura,Punjab,31.72,181,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0373.pdf
IR-E-U-0455,"Indian Institute of Information Technology, Design & Manufacturing",35.51,7.80,57.62,53.05,18.15,Chennai,Tamil Nadu,31.63,182,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0455.pdf
IR-E-U-0739,Madan Mohan Malaviya University of Technology,47.49,15.84,44.10,35.10,2.69,Gorakhpur,Uttar Pradesh,31.60,183,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0739.pdf
IR-E-C-26929,Sree Vidyanikethan Engineering College,54.06,1.24,50.93,47.58,0.00,A.Rangampet,Andhra Pradesh,31.54,184,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-26929.pdf
IR-E-C-26928,JNTUA College of Engineering,55.12,3.96,48.19,36.84,4.72,Anantapur,Andhra Pradesh,31.52,185,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-26928.pdf
IR-E-C-1398,BNM Institute of Technology,55.66,1.11,46.87,50.80,0.00,Bengaluru,Karnataka,31.48,186,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1398.pdf
IR-E-C-26162,Vasavi College of Engineering,48.80,0.75,56.58,50.47,2.16,Hyderabad,Telangana,31.46,187,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-26162.pdf
IR-E-C-17913,Gayatri Vidya Parishad College of Engineering,54.28,1.69,45.48,48.12,6.65,Visakhapatnam,Andhra Pradesh,31.38,188,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-17913.pdf
IR-E-C-27089,National Engineering College,53.98,5.99,42.90,46.85,1.10,Kovilpatti,Tamil Nadu,31.36,189,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-27089.pdf
IR-E-C-26905,G.Pulla Reddy Engineering College,53.11,1.15,48.27,51.60,2.69,Kurnool,Andhra Pradesh,31.35,190,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-26905.pdf
IR-E-C-6192,Institute of Engineering & Management,43.74,7.80,51.73,52.96,2.16,Kolkata,West Bengal,31.33,191,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-6192.pdf
IR-E-C-16476,Sri Sai Ram Institute of Technology,48.89,2.80,54.08,47.67,2.16,Chennai,Tamil Nadu,31.32,192,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-16476.pdf
IR-E-U-0129,Dharmsinh Desai University,49.40,2.29,59.12,36.87,2.69,Nadiad,Gujarat,31.29,193,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0129.pdf
IR-E-U-0405,The LNM Institute of Information Technology,41.95,12.14,53.25,43.08,0.55,Jaipur,Rajasthan,31.24,194,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0405.pdf
IR-E-U-0162,Guru Jambheshwar University of Science and Technology,41.05,13.82,51.92,40.13,3.71,Hisar,Haryana,31.23,195,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0162.pdf
IR-E-C-42227,Dr. D. Y. Patil Institute of Technology,49.69,1.66,53.63,48.50,1.63,Pune,Maharashtra,31.15,196,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-42227.pdf
IR-E-C-49660,Pimpri Chinchwad College of Engineering,46.11,7.36,50.73,48.76,0.55,Pune,Maharashtra,31.13,197,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-49660.pdf
IR-E-C-34167,Ramrao Adik Institute of Technology,53.60,3.82,45.75,47.25,0.00,Navi Mumbai,Maharashtra,31.11,198,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-34167.pdf
IR-E-C-48145,BVRIT Hyderabad,49.16,0.46,53.74,52.98,1.63,Hyderabad,Telangana,31.10,199,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-48145.pdf
IR-E-U-0615,National Institute of Technology Arunachal Pradesh,50.56,9.06,39.36,46.21,7.12,Itanagar,Arunachal Pradesh,31.09,200,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0615.pdf
