institute_id,name,TLR,RPC,GO,OI,PRECEPTION,city,state,score,nirf_rank
IR-E-U-0263,National Institute of Technology Calicut,71.05,31.30,78.29,63.87,38.04,Kozhikode,Kerala,56.56,23,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0263.pdf
IR-E-U-0139,Indian Institute of Technology Gandhinagar,83.76,34.55,55.15,57.90,38.26,Gandhinagar,Gujarat,56.15,24,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0139.pdf
IR-E-U-0378,Indian Institute of Technology Ropar,79.11,30.54,70.31,59.24,30.75,Rupnagar,Punjab,55.95,25,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0378.pdf
IR-E-U-0064,Indian Institute of Technology Patna,78.20,39.24,62.28,51.86,28.57,Patna,Bihar,55.74,26,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0064.pdf
IR-E-U-0334,Visvesvaraya National Institute of Technology,67.70,45.19,69.73,53.77,15.56,Nagpur,Maharashtra,54.76,27,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0334.pdf
IR-E-U-0108,Jamia Millia Islamia,63.16,48.11,71.43,58.00,11.13,New Delhi,Delhi,54.58,28,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0108.pdf
IR-E-I-1480,Thapar Institute of Engineering & Technology,65.95,47.65,65.69,54.82,17.42,Patiala,Punjab,54.45,29,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-I-1480.pdf
IR-E-U-0391,Birla Institute of Technology & Science,61.95,34.87,77.36,56.26,42.47,Pilani,Rajasthan,54.39,30,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0391.pdf
IR-E-U-0184,Indian Institute of Technology Mandi,70.38,36.80,67.11,64.70,21.26,Mandi,Himachal Pradesh,54.17,31,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0184.pdf
IR-E-U-0497,Amity University Noida,71.22,50.11,51.01,56.94,8.05,Gautam Budh Nagar,Uttar Pradesh,53.09,32,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0497.pdf
IR-E-U-0255,Indian Institute of Space Science and Technology,78.65,24.02,62.88,62.97,33.32,Thiruvananthapuram,Kerala,53.01,33,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0255.pdf
IR-E-U-0363,Siksha `O` Anusandhan,74.73,29.41,68.18,64.26,10.70,Bhubaneswar,Odisha,52.38,34,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0363.pdf
IR-E-U-0410,Malaviya National Institute of Technology,71.41,41.69,59.89,54.40,8.95,Jaipur,Rajasthan,52.25,35,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0410.pdf
IR-E-U-0098,Delhi Technological University,63.36,31.12,73.21,53.07,36.91,New Delhi,Delhi,51.99,36,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0098.pdf
IR-E-U-0476,Shanmugha Arts Science Technology & Research Academy,73.13,33.81,64.89,56.60,10.70,Thanjavur,Tamil Nadu,51.79,37,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0476.pdf
IR-E-U-0202,Birla Institute of Technology,70.07,34.81,58.75,51.57,30.48,Ranchi,Jharkhand,51.42,38,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0202.pdf
IR-E-U-0496,Aligarh Muslim University,70.58,45.83,56.57,40.89,10.70,Aligarh,Uttar Pradesh,51.39,39,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0496.pdf
IR-E-U-0172,National Institute of Technology Kurukshetra,63.85,41.64,61.65,54.75,17.42,Kurukshetra,Haryana,51.19,40,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0172.pdf
IR-E-U-0473,S. R. M. Institute of Science and Technology,61.27,41.96,63.57,61.06,11.55,Chennai,Tamil Nadu,50.95,41,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0473.pdf
IR-E-U-0356,Kalinga Institute of Industrial Technology,66.08,25.80,65.80,75.70,17.79,Bhubaneswar,Odisha,50.07,42,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0356.pdf
IR-E-U-0014,International Institute of Information Technology Hyderabad,53.01,36.66,73.92,52.91,24.77,Hyderabad,Telangana,49.45,43,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0014.pdf
IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,66.01,31.10,63.81,53.47,20.25,Kancheepuram,Tamil Nadu,49.26,44,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-16604.pdf
IR-E-C-7252,Manipal Institute of Technology,70.32,24.86,54.60,62.23,33.57,Manipal,Karnataka,49.06,45,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-7252.pdf
IR-E-U-0055,National Institute of Technology Silchar,61.63,35.41,62.30,51.68,19.21,Silchar,Assam,48.66,46,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0055.pdf
IR-E-U-0577,National Institute of Technology Durgapur,54.76,36.98,64.42,50.22,29.68,Durgapur,West Bengal,48.39,47,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0577.pdf
IR-E-U-0530,Motilal Nehru National Institute of Technology,59.71,30.56,69.00,50.72,22.89,Allahabad,Uttar Pradesh,48.24,48,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0530.pdf
IR-E-C-37013,PSG College of Technology,69.35,19.73,52.14,48.69,51.77,Coimbatore,Tamil Nadu,47.21,49,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-37013.pdf
IR-E-C-41593,College of Engineering Pune,61.94,21.89,67.56,51.85,29.40,Pune,Maharashtra,46.79,50,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-41593.pdf
IR-E-U-0474,Sathyabama Institute of Science and Technology,59.06,31.77,64.14,64.20,2.69,Chennai,Tamil Nadu,46.77,51,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0474.pdf
IR-E-U-0374,Dr. B. R. Ambedkar National Institute of Technology,66.18,25.99,59.76,58.66,9.84,Jalandhar,Punjab,46.45,52,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0374.pdf
IR-E-U-0395,Indian Institute of Technology Jodhpur,67.71,26.19,56.17,59.29,8.05,Jodhpur,Rajasthan,46.13,53,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0395.pdf
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,57.49,31.20,62.46,55.13,9.84,Surat,Gujarat,45.59,54,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0149.pdf
IR-E-U-0249,Visvesvaraya Technological University,66.34,30.98,53.14,49.19,6.18,Belgaum,Karnataka,45.37,55,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0249.pdf
IR-E-U-0105,Indraprastha Institute of Information Technology Delhi,55.18,29.80,67.58,41.15,18.86,New Delhi,Delhi,45.03,56,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0105.pdf
IR-E-U-0017,Jawaharlal Nehru Technological University,71.72,29.24,40.88,53.90,11.13,Hyderabad,Telangana,44.97,57,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0017.pdf
IR-E-U-0020,Koneru Lakshmaiah Education Foundation University,70.69,28.57,44.25,54.50,6.18,Vaddeswaram,Andhra Pradesh,44.70,58,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0020.pdf
